=== TRAIN オノマトペデータセット合成ログ ===
生成時刻: 2025-10-29 18:30:14
目標画像数: 400
      元サイズ: 1024x1536
      クロップサイズ: 341x1108
      最終サイズ: 47x154
      配置位置: (306,620)
      スケール: 0.004674
      スケール比: 0.0306
    オノマトペ2: 045.png
      元サイズ: 1536x1024
      クロップサイズ: 951x500
      最終サイズ: 69x36
      配置位置: (197,181)
      スケール: 0.001610
      スケール比: 0.0449

画像 245.png:
  背景ファイル: 079.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 2
    オノマトペ1: 078.png
      元サイズ: 1024x1024
      クロップサイズ: 348x881
      最終サイズ: 20x50
      配置位置: (1088,515)
      スケール: 0.000652
      スケール比: 0.0130
    オノマトペ2: 057.png
      元サイズ: 1024x1536
      クロップサイズ: 344x1096
      最終サイズ: 17x54
      配置位置: (240,95)
      スケール: 0.000588
      スケール比: 0.0111

画像 246.png:
  背景ファイル: 080.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 4
    オノマトペ1: 038.png
      元サイズ: 1536x1024
      クロップサイズ: 1045x526
      最終サイズ: 70x35
      配置位置: (1069,430)
      スケール: 0.001571
      スケール比: 0.0456
    オノマトペ2: 071.png
      元サイズ: 1024x1024
      クロップサイズ: 393x856
      最終サイズ: 28x61
      配置位置: (758,895)
      スケール: 0.001122
      スケール比: 0.0182
    オノマトペ3: 062.png
      元サイズ: 1024x1536
      クロップサイズ: 454x1089
      最終サイズ: 67x162
      配置位置: (88,714)
      スケール: 0.006999
      スケール比: 0.0436
    オノマトペ4: 060.png
      元サイズ: 1024x1536
      クロップサイズ: 509x1141
      最終サイズ: 32x72
      配置位置: (469,821)
      スケール: 0.001487
      スケール比: 0.0208

画像 247.png:
  背景ファイル: 081.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 7
    オノマトペ1: 038.png
      元サイズ: 1536x1024
      クロップサイズ: 1045x526
      最終サイズ: 134x67
      配置位置: (977,784)
      スケール: 0.005753
      スケール比: 0.0872
    オノマトペ2: 077.png
      元サイズ: 1024x1024
      クロップサイズ: 387x747
      最終サイズ: 27x53
      配置位置: (476,931)
      スケール: 0.000952
      スケール比: 0.0176
    オノマトペ3: 025.png
      元サイズ: 1024x1024
      クロップサイズ: 854x174
      最終サイズ: 134x27
      配置位置: (171,290)
      スケール: 0.002336
      スケール比: 0.0872
    オノマトペ4: 021.png
      元サイズ: 1024x1024
      クロップサイズ: 249x910
      最終サイズ: 18x66
      配置位置: (1225,897)
      スケール: 0.000767
      スケール比: 0.0117
    オノマトペ5: 041.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 78x45
      配置位置: (1113,418)
      スケール: 0.002262
      スケール比: 0.0508
    オノマトペ6: 063.png
      元サイズ: 1024x1536
      クロップサイズ: 414x1159
      最終サイズ: 46x129
      配置位置: (527,193)
      スケール: 0.003834
      スケール比: 0.0299
    オノマトペ7: 071.png
      元サイズ: 1024x1024
      クロップサイズ: 393x856
      最終サイズ: 25x55
      配置位置: (11,726)
      スケール: 0.000905
      スケール比: 0.0163

画像 248.png:
  背景ファイル: 082.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 10
    オノマトペ1: 062.png
      元サイズ: 1024x1536
      クロップサイズ: 454x1089
      最終サイズ: 18x43
      配置位置: (741,109)
      スケール: 0.000500
      スケール比: 0.0117
    オノマトペ2: 034.png
      元サイズ: 1024x1024
      クロップサイズ: 857x471
      最終サイズ: 49x26
      配置位置: (316,436)
      スケール: 0.000840
      スケール比: 0.0319
    オノマトペ3: 072.png
      元サイズ: 1024x1024
      クロップサイズ: 443x880
      最終サイズ: 24x49
      配置位置: (1334,599)
      スケール: 0.000781
      スケール比: 0.0156
    オノマトペ4: 077.png
      元サイズ: 1024x1024
      クロップサイズ: 387x747
      最終サイズ: 24x46
      配置位置: (519,267)
      スケール: 0.000707
      スケール比: 0.0156
    オノマトペ5: 043.png
      元サイズ: 1536x1024
      クロップサイズ: 876x530
      最終サイズ: 58x35
      配置位置: (1097,433)
      スケール: 0.001305
      スケール比: 0.0378
    オノマトペ6: 051.png
      元サイズ: 1024x1536
      クロップサイズ: 314x1213
      最終サイズ: 23x90
      配置位置: (1156,374)
      スケール: 0.001341
      スケール比: 0.0150
    オノマトペ7: 025.png
      元サイズ: 1024x1024
      クロップサイズ: 854x174
      最終サイズ: 111x22
      配置位置: (1253,282)
      スケール: 0.001597
      スケール比: 0.0723
    オノマトペ8: 022.png
      元サイズ: 1024x1024
      クロップサイズ: 787x197
      最終サイズ: 160x40
      配置位置: (813,773)
      スケール: 0.004075
      スケール比: 0.1042
    オノマトペ9: 067.png
      元サイズ: 1024x1024
      クロップサイズ: 837x951
      最終サイズ: 37x42
      配置位置: (417,423)
      スケール: 0.000991
      スケール比: 0.0241
    オノマトペ10: 002.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 76x44
      配置位置: (1130,802)
      スケール: 0.002153
      スケール比: 0.0495

画像 249.png:
  背景ファイル: 083.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 13
    オノマトペ1: 038.png
      元サイズ: 1536x1024
      クロップサイズ: 1045x526
      最終サイズ: 104x52
      配置位置: (1350,121)
      スケール: 0.003505
      スケール比: 0.0677
    オノマトペ2: 053.png
      元サイズ: 1024x1536
      クロップサイズ: 273x1214
      最終サイズ: 36x161
      配置位置: (470,457)
      スケール: 0.003726
      スケール比: 0.0234
    オノマトペ3: 059.png
      元サイズ: 1024x1536
      クロップサイズ: 453x1037
      最終サイズ: 39x90
      配置位置: (1432,165)
      スケール: 0.002300
      スケール比: 0.0254
    オノマトペ4: 072.png
      元サイズ: 1024x1024
      クロップサイズ: 443x880
      最終サイズ: 32x63
      配置位置: (205,219)
      スケール: 0.001304
      スケール比: 0.0208
    オノマトペ5: 071.png
      元サイズ: 1024x1024
      クロップサイズ: 393x856
      最終サイズ: 24x52
      配置位置: (1041,410)
      スケール: 0.000800
      スケール比: 0.0156
    オノマトペ6: 013.png
      元サイズ: 1024x1024
      クロップサイズ: 702x473
      最終サイズ: 41x28
      配置位置: (693,820)
      スケール: 0.000743
      スケール比: 0.0267
    オノマトペ7: 035.png
      元サイズ: 1024x1024
      クロップサイズ: 845x465
      最終サイズ: 37x20
      配置位置: (1127,628)
      スケール: 0.000500
      スケール比: 0.0241
    オノマトペ8: 026.png
      元サイズ: 1024x1024
      クロップサイズ: 818x203
      最終サイズ: 84x20
      配置位置: (1427,700)
      スケール: 0.001121
      スケール比: 0.0547
    オノマトペ9: 010.png
      元サイズ: 1536x1024
      クロップサイズ: 1090x493
      最終サイズ: 95x43
      配置位置: (106,164)
      スケール: 0.002637
      スケール比: 0.0618
    オノマトペ10: 006.png
      元サイズ: 1024x1536
      クロップサイズ: 913x503
      最終サイズ: 96x53
      配置位置: (796,651)
      スケール: 0.003252
      スケール比: 0.0625
    オノマトペ11: 048.png
      元サイズ: 1024x1536
      クロップサイズ: 378x1050
      最終サイズ: 22x61
      配置位置: (10,823)
      スケール: 0.000866
      スケール比: 0.0143
    オノマトペ12: 054.png
      元サイズ: 1024x1536
      クロップサイズ: 341x1108
      最終サイズ: 23x76
      配置位置: (186,843)
      スケール: 0.001153
      スケール比: 0.0150
    オノマトペ13: 063.png
      元サイズ: 1024x1536
      クロップサイズ: 414x1159
      最終サイズ: 37x105
      配置位置: (297,482)
      スケール: 0.002528
      スケール比: 0.0241

画像 250.png:
  背景ファイル: 001.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 2
    オノマトペ1: 060.png
      元サイズ: 1024x1536
      クロップサイズ: 509x1141
      最終サイズ: 38x85
      配置位置: (131,269)
      スケール: 0.002066
      スケール比: 0.0247
    オノマトペ2: 074.png
      元サイズ: 1024x1024
      クロップサイズ: 448x856
      最終サイズ: 37x71
      配置位置: (454,379)
      スケール: 0.001696
      スケール比: 0.0241

画像 251.png:
  背景ファイル: 002.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 15
    オノマトペ1: 073.png
      元サイズ: 1024x1024
      クロップサイズ: 500x887
      最終サイズ: 26x46
      配置位置: (1012,449)
      スケール: 0.000784
      スケール比: 0.0169
    オノマトペ2: 057.png
      元サイズ: 1024x1536
      クロップサイズ: 344x1096
      最終サイズ: 20x64
      配置位置: (21,206)
      スケール: 0.000819
      スケール比: 0.0130
    オノマトペ3: 010.png
      元サイズ: 1536x1024
      クロップサイズ: 1090x493
      最終サイズ: 73x33
      配置位置: (1345,953)
      スケール: 0.001541
      スケール比: 0.0475
    オノマトペ4: 022.png
      元サイズ: 1024x1024
      クロップサイズ: 787x197
      最終サイズ: 93x23
      配置位置: (1061,292)
      スケール: 0.001397
      スケール比: 0.0605
    オノマトペ5: 017.png
      元サイズ: 1024x1024
      クロップサイズ: 906x347
      最終サイズ: 148x56
      配置位置: (398,34)
      スケール: 0.005388
      スケール比: 0.0964
    オノマトペ6: 043.png
      元サイズ: 1536x1024
      クロップサイズ: 876x530
      最終サイズ: 45x27
      配置位置: (1227,522)
      スケール: 0.000780
      スケール比: 0.0293
    オノマトペ7: 046.png
      元サイズ: 1024x1536
      クロップサイズ: 443x1006
      最終サイズ: 27x62
      配置位置: (1056,715)
      スケール: 0.001096
      スケール比: 0.0176
    オノマトペ8: 009.png
      元サイズ: 1024x1536
      クロップサイズ: 884x488
      最終サイズ: 42x23
      配置位置: (474,629)
      スケール: 0.000644
      スケール比: 0.0273
    オノマトペ9: 006.png
      元サイズ: 1024x1536
      クロップサイズ: 913x503
      最終サイズ: 106x58
      配置位置: (347,690)
      スケール: 0.003961
      スケール比: 0.0690
    オノマトペ10: 003.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 103x39
      配置位置: (73,368)
      スケール: 0.002593
      スケール比: 0.0671
    オノマトペ11: 031.png
      元サイズ: 1024x1024
      クロップサイズ: 818x362
      最終サイズ: 164x72
      配置位置: (489,670)
      スケール: 0.007614
      スケール比: 0.1068
    オノマトペ12: 054.png
      元サイズ: 1024x1536
      クロップサイズ: 341x1108
      最終サイズ: 32x104
      配置位置: (177,282)
      スケール: 0.002131
      スケール比: 0.0208
    オノマトペ13: 076.png
